epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,440.41,0.7471,0.49792,1.23988,0.98072,0.74821,0.91359,0.60954,1.23744,0.73128,1.41271,0.0009308,0.0009308,0.0009308
56,448.584,0.70772,0.48445,1.21723,0.83548,0.89621,0.92659,0.5985,1.26757,0.74709,1.45171,0.000911,0.000911,0.000911
57,456.701,0.71461,0.48502,1.23328,0.95075,0.8516,0.94152,0.64595,1.1342,0.57524,1.3576,0.0008912,0.0008912,0.0008912
58,464.765,0.71339,0.47622,1.21569,0.93989,0.91988,0.96214,0.65237,1.21629,0.62404,1.39747,0.0008714,0.0008714,0.0008714
59,472.908,0.69247,0.46333,1.2145,0.91975,0.95588,0.96537,0.62964,1.3534,0.61386,1.51306,0.0008516,0.0008516,0.0008516
60,480.954,0.69637,0.47112,1.21729,0.94064,0.91176,0.95317,0.64217,1.25633,0.63238,1.4165,0.0008318,0.0008318,0.0008318
61,489.109,0.69467,0.47322,1.19982,0.85245,0.89706,0.92155,0.64245,1.21367,0.66512,1.37451,0.000812,0.000812,0.000812
62,497.264,0.69591,0.45539,1.21132,0.93319,0.80882,0.90173,0.62337,1.1185,0.72039,1.35778,0.0007922,0.0007922,0.0007922
63,505.302,0.68564,0.45661,1.20058,0.90165,0.88235,0.92632,0.64401,1.19052,0.6493,1.40834,0.0007724,0.0007724,0.0007724
64,513.282,0.66934,0.45314,1.18398,0.9691,0.9224,0.96502,0.63709,1.29016,0.61996,1.49965,0.0007526,0.0007526,0.0007526
65,521.227,0.66386,0.46332,1.19096,0.8987,0.91323,0.95293,0.59906,1.42026,0.72414,1.63994,0.0007328,0.0007328,0.0007328
66,529.196,0.66202,0.44181,1.18943,0.9184,0.91176,0.95262,0.63453,1.27728,0.66125,1.48414,0.000713,0.000713,0.000713
67,537.26,0.66342,0.4457,1.19003,0.95284,0.92647,0.96702,0.6811,1.09573,0.57103,1.32322,0.0006932,0.0006932,0.0006932
68,545.395,0.62802,0.42252,1.16665,0.92276,0.87853,0.92729,0.58934,1.338,0.6704,1.59445,0.0006734,0.0006734,0.0006734
69,553.524,0.64026,0.43036,1.16624,0.98388,0.85294,0.95398,0.65373,1.11137,0.62952,1.35013,0.0006536,0.0006536,0.0006536
70,561.715,0.64965,0.43292,1.16787,0.95169,0.91176,0.92905,0.64959,1.19846,0.65568,1.40522,0.0006338,0.0006338,0.0006338
71,569.723,0.63996,0.42972,1.17393,0.94691,0.85294,0.92485,0.63711,1.18872,0.77018,1.42867,0.000614,0.000614,0.000614
72,577.733,0.65017,0.42706,1.17019,0.91842,0.88235,0.93298,0.67309,1.06345,0.64755,1.30098,0.0005942,0.0005942,0.0005942
73,585.752,0.62531,0.41691,1.16146,0.9383,0.89456,0.93772,0.66223,1.14434,0.59785,1.34541,0.0005744,0.0005744,0.0005744
74,593.814,0.62964,0.40589,1.16859,0.88537,0.90871,0.93096,0.66186,1.14614,0.67833,1.39982,0.0005546,0.0005546,0.0005546
75,601.926,0.61327,0.41,1.1575,0.91941,0.83889,0.92677,0.62086,1.21871,0.67241,1.45758,0.0005348,0.0005348,0.0005348
76,609.914,0.62502,0.40785,1.15483,0.96234,0.88235,0.9412,0.67746,1.06995,0.63205,1.34694,0.000515,0.000515,0.000515
77,617.852,0.62778,0.42053,1.17085,0.96939,0.88235,0.95257,0.68596,1.15201,0.58619,1.33357,0.0004952,0.0004952,0.0004952
78,625.8,0.60629,0.39572,1.14918,0.97998,0.86765,0.94964,0.70202,0.99397,0.56311,1.24261,0.0004754,0.0004754,0.0004754
79,633.72,0.61391,0.40439,1.14575,0.95788,0.86765,0.95695,0.71033,0.99062,0.55742,1.25856,0.0004556,0.0004556,0.0004556
80,641.665,0.60813,0.40607,1.13512,0.94753,0.88235,0.96483,0.69272,1.15676,0.5575,1.36365,0.0004358,0.0004358,0.0004358
81,649.572,0.59617,0.40298,1.13938,0.91296,0.92556,0.96926,0.69538,1.13525,0.53392,1.34308,0.000416,0.000416,0.000416
